Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Mcgonagall;This is out of my hands, Potter.;['this', 'is', 'out', 'of', 'my', 'hands', 'potter'];['this', 'is', 'out', 'of', 'my', 'hand', 'potter'];['hand', 'potter']
Mcgonagall;Professor Dumbledore will be waiting for you.;['professor', 'dumbledore', 'will', 'be', 'waiting', 'for', 'you'];['professor', 'dumbledore', 'will', 'be', 'waiting', 'for', 'you'];['professor', 'dumbledore', 'waiting']
Mcgonagall;Sherbet Lemon.;['sherbet', 'lemon'];['sherbet', 'lemon'];['sherbet', 'lemon']
Harry;Professor Dumbledore?;['professor', 'dumbledore'];['professor', 'dumbledore'];['professor', 'dumbledore']
Sorting Hat;Bee in your bonnet, Potter?;['bee', 'in', 'your', 'bonnet', 'potter'];['bee', 'in', 'your', 'bonnet', 'potter'];['bee', 'bonnet', 'potter']
Harry;I...I..I was just wondering if you put me in the right house.;['i', 'i', 'i', 'was', 'just', 'wondering', 'if', 'you', 'put', 'me', 'in', 'the', 'right', 'house'];['i', 'i', 'i', 'wa', 'just', 'wondering', 'if', 'you', 'put', 'me', 'in', 'the', 'right', 'house'];['wondering', 'put', 'right', 'house']
Sorting Hat;Yes. You were particularly difficult to place.;['yes', 'you', 'were', 'particularly', 'difficult', 'to', 'place'];['yes', 'you', 'were', 'particularly', 'difficult', 'to', 'place'];['particularly', 'difficult', 'place']
Sorting Hat;But I stand by what I said last year.;['but', 'i', 'stand', 'by', 'what', 'i', 'said', 'last', 'year'];['but', 'i', 'stand', 'by', 'what', 'i', 'said', 'last', 'year'];['stand', 'said', 'last', 'year']
Sorting Hat;You would have done well in Slytherin.;['you', 'would', 'have', 'done', 'well', 'in', 'slytherin'];['you', 'would', 'have', 'done', 'well', 'in', 'slytherin'];['would', 'done', 'well', 'slytherin']
Harry;You're wrong.;['you', 'wrong'];['you', 'wrong'];['wrong']
Dumbledore;Harry?;['harry'];['harry'];['harry']
Harry;Professor.;['professor'];['professor'];['professor']
Harry;Your bird...There was nothing I could do.;['your', 'bird', 'there', 'was', 'nothing', 'i', 'could', 'do'];['your', 'bird', 'there', 'wa', 'nothing', 'i', 'could', 'do'];['bird', 'nothing', 'could']
Harry;He just caught fire.;['he', 'just', 'caught', 'fire'];['he', 'just', 'caught', 'fire'];['caught', 'fire']
Dumbledore;And about time too.;['and', 'about', 'time', 'too'];['and', 'about', 'time', 'too'];['time']
Dumbledore;He's been looking dreadful for days.;['he', 'been', 'looking', 'dreadful', 'for', 'days'];['he', 'been', 'looking', 'dreadful', 'for', 'day'];['looking', 'dreadful', 'day']
Dumbledore;Pity you had to see him on a burning day.;['pity', 'you', 'had', 'to', 'see', 'him', 'on', 'a', 'burning', 'day'];['pity', 'you', 'had', 'to', 'see', 'him', 'on', 'a', 'burning', 'day'];['pity', 'burning', 'day']
Dumbledore;Fawkes is a phoenix, Harry.;['fawkes', 'is', 'a', 'phoenix', 'harry'];['fawkes', 'is', 'a', 'phoenix', 'harry'];['fawkes', 'phoenix', 'harry']
Dumbledore;They burst into flame when it is time for them to die...;['they', 'burst', 'into', 'flame', 'when', 'it', 'is', 'time', 'for', 'them', 'to', 'die'];['they', 'burst', 'into', 'flame', 'when', 'it', 'is', 'time', 'for', 'them', 'to', 'die'];['burst', 'flame', 'time', 'die']
Dumbledore;and then they are reborn from the ashes.;['and', 'then', 'they', 'are', 'reborn', 'from', 'the', 'ashes'];['and', 'then', 'they', 'are', 'reborn', 'from', 'the', 'ash'];['reborn', 'ash']
Dumbledore;Fascinating creatures, phoenixes.;['fascinating', 'creatures', 'phoenixes'];['fascinating', 'creature', 'phoenix'];['fascinating', 'creature', 'phoenix']
Dumbledore;They can carry immensely heavy loads.;['they', 'can', 'carry', 'immensely', 'heavy', 'loads'];['they', 'can', 'carry', 'immensely', 'heavy', 'load'];['carry', 'immensely', 'heavy', 'load']
Dumbledore;Their tears have healing powers.;['their', 'tears', 'have', 'healing', 'powers'];['their', 'tear', 'have', 'healing', 'power'];['tear', 'healing', 'power']
Hagrid;Professor Dumbledore, sir!;['professor', 'dumbledore', 'sir'];['professor', 'dumbledore', 'sir'];['professor', 'dumbledore', 'sir']
Hagrid;Wait! Listen!;['wait', 'listen'];['wait', 'listen'];['wait', 'listen']
Hagrid;Professor Dumbledore, sir, it wasn't Harry.;['professor', 'dumbledore', 'sir', 'it', 'was', 'harry'];['professor', 'dumbledore', 'sir', 'it', 'wa', 'harry'];['professor', 'dumbledore', 'sir', 'harry']
Hagrid;I'd be prepared to swear it in front of the Ministry of Magic.;['i', 'be', 'prepared', 'to', 'swear', 'it', 'in', 'front', 'of', 'the', 'ministry', 'of', 'magic'];['i', 'be', 'prepared', 'to', 'swear', 'it', 'in', 'front', 'of', 'the', 'ministry', 'of', 'magic'];['prepared', 'swear', 'front', 'ministry', 'magic']
Dumbledore;Hagriiid!! Relax.;['hagriiid', 'relax'];['hagriiid', 'relax'];['hagriiid', 'relax']
Dumbledore;I do not believe that Harry attacked anyone.;['i', 'do', 'not', 'believe', 'that', 'harry', 'attacked', 'anyone'];['i', 'do', 'not', 'believe', 'that', 'harry', 'attacked', 'anyone'];['believe', 'harry', 'attacked', 'anyone']
Hagrid;Of course you don't.;['of', 'course', 'you', 'do'];['of', 'course', 'you', 'do'];['course']
Hagrid;Ohh! Oww! Right. Well, I'll...;['ohh', 'oww', 'right', 'well', 'i'];['ohh', 'oww', 'right', 'well', 'i'];['ohh', 'oww', 'right', 'well']
Hagrid;I'll just wait outside, then.;['i', 'just', 'wait', 'outside', 'then'];['i', 'just', 'wait', 'outside', 'then'];['wait', 'outside']
Dumbledore;Yes.;['yes'];['yes'];[]
Harry;You don't think it was me, professor?;['you', 'do', 'think', 'it', 'was', 'me', 'professor'];['you', 'do', 'think', 'it', 'wa', 'me', 'professor'];['think', 'professor']
Dumbledore;No, Harry. I do not think it was you.;['no', 'harry', 'i', 'do', 'not', 'think', 'it', 'was', 'you'];['no', 'harry', 'i', 'do', 'not', 'think', 'it', 'wa', 'you'];['harry', 'think']
Dumbledore;But I must ask you is there something you wish to tell me?;['but', 'i', 'must', 'ask', 'you', 'is', 'there', 'something', 'you', 'wish', 'to', 'tell', 'me'];['but', 'i', 'must', 'ask', 'you', 'is', 'there', 'something', 'you', 'wish', 'to', 'tell', 'me'];['must', 'ask', 'something', 'wish', 'tell']
Harry;No, sir. Nothing;['no', 'sir', 'nothing'];['no', 'sir', 'nothing'];['sir', 'nothing']
Dumbledore;Very well, then.;['very', 'well', 'then'];['very', 'well', 'then'];['well']
Dumbledore;Off you go.;['off', 'you', 'go'];['off', 'you', 'go'];[]
Hermione;Everything's set. ;['everything', 'set'];['everything', 'set'];['everything', 'set']
Hermione;We just need a bit of who you're changing into.;['we', 'just', 'need', 'a', 'bit', 'of', 'who', 'you', 'changing', 'into'];['we', 'just', 'need', 'a', 'bit', 'of', 'who', 'you', 'changing', 'into'];['need', 'bit', 'changing']
Harry;Crabbe and Goyle.;['crabbe', 'and', 'goyle'];['crabbe', 'and', 'goyle'];['crabbe', 'goyle']
Hermione;We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.;['we', 'also', 'need', 'to', 'make', 'sure', 'that', 'the', 'real', 'crabbe', 'and', 'goyle', 'ca', 'burst', 'in', 'on', 'us', 'while', 'we', 'interrogating', 'malfoy'];['we', 'also', 'need', 'to', 'make', 'sure', 'that', 'the', 'real', 'crabbe', 'and', 'goyle', 'ca', 'burst', 'in', 'on', 'u', 'while', 'we', 'interrogating', 'malfoy'];['also', 'need', 'make', 'sure', 'real', 'crabbe', 'goyle', 'ca', 'burst', 'u', 'interrogating', 'malfoy']
Ron;How?;['how'];['how'];[]
Hermione;I've got it all worked out.;['i', 'got', 'it', 'all', 'worked', 'out'];['i', 'got', 'it', 'all', 'worked', 'out'];['worked']
Hermione;I filled these with a simple Sleeping Draught.;['i', 'filled', 'these', 'with', 'a', 'simple', 'sleeping', 'draught'];['i', 'filled', 'these', 'with', 'a', 'simple', 'sleeping', 'draught'];['filled', 'simple', 'sleeping', 'draught']
Hermione;Simple, but powerful.;['simple', 'but', 'powerful'];['simple', 'but', 'powerful'];['simple', 'powerful']
Hermione;Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms.;['now', 'once', 'they', 'asleep', 'hide', 'them', 'in', 'the', 'broomstick', 'cupboard', 'and', 'pull', 'out', 'a', 'few', 'of', 'their', 'hairs', 'and', 'put', 'on', 'their', 'uniforms'];['now', 'once', 'they', 'asleep', 'hide', 'them', 'in', 'the', 'broomstick', 'cupboard', 'and', 'pull', 'out', 'a', 'few', 'of', 'their', 'hair', 'and', 'put', 'on', 'their', 'uniform'];['asleep', 'hide', 'broomstick', 'cupboard', 'pull', 'hair', 'put', 'uniform']
Ron;Whose hair are you ripping out, then?;['whose', 'hair', 'are', 'you', 'ripping', 'out', 'then'];['whose', 'hair', 'are', 'you', 'ripping', 'out', 'then'];['whose', 'hair', 'ripping']
Hermione;I've already got mine.;['i', 'already', 'got', 'mine'];['i', 'already', 'got', 'mine'];['already', 'mine']
Hermione;Millicent Bulstrode. Slytherin.;['millicent', 'bulstrode', 'slytherin'];['millicent', 'bulstrode', 'slytherin'];['millicent', 'bulstrode', 'slytherin']
Hermione;I got this off her robes.;['i', 'got', 'this', 'off', 'her', 'robes'];['i', 'got', 'this', 'off', 'her', 'robe'];['robe']
Hermione;I'm going to go check on the Polyjuice Potion.;['i', 'going', 'to', 'go', 'check', 'on', 'the', 'polyjuice', 'potion'];['i', 'going', 'to', 'go', 'check', 'on', 'the', 'polyjuice', 'potion'];['going', 'check', 'polyjuice', 'potion']
Hermione;Make sure that Crabbe and Goyle find these.;['make', 'sure', 'that', 'crabbe', 'and', 'goyle', 'find', 'these'];['make', 'sure', 'that', 'crabbe', 'and', 'goyle', 'find', 'these'];['make', 'sure', 'crabbe', 'goyle', 'find']
Harry;Ron, maybe I should do it.;['ron', 'maybe', 'i', 'should', 'do', 'it'];['ron', 'maybe', 'i', 'should', 'do', 'it'];['ron', 'maybe']
Ron;Yeah. Right.;['yeah', 'right'];['yeah', 'right'];['yeah', 'right']
Harry;Wingardium Leviosa.;['wingardium', 'leviosa'];['wingardium', 'leviosa'];['wingardium', 'leviosa']
Crabbe;Cool. Umm..um.;['cool', 'umm', 'um'];['cool', 'umm', 'um'];['cool', 'umm', 'um']
Ron;How thick could you get?;['how', 'thick', 'could', 'you', 'get'];['how', 'thick', 'could', 'you', 'get'];['thick', 'could']
Harry;Come on, let's get them.;['come', 'on', 'let', 'get', 'them'];['come', 'on', 'let', 'get', 'them'];['let']
Hermione;We'll have exactly one hour before we change back into ourselves.;['we', 'have', 'exactly', 'one', 'hour', 'before', 'we', 'change', 'back', 'into', 'ourselves'];['we', 'have', 'exactly', 'one', 'hour', 'before', 'we', 'change', 'back', 'into', 'ourselves'];['exactly', 'one', 'hour', 'change', 'back']
Hermione;Add the hairs.;['add', 'the', 'hairs'];['add', 'the', 'hair'];['add', 'hair']
Ron;Essence of Crabbe.;['essence', 'of', 'crabbe'];['essence', 'of', 'crabbe'];['essence', 'crabbe']
Hermione;Cheers.;['cheers'];['cheer'];['cheer']
Ron;I think I'm gonna be sick.;['i', 'think', 'i', 'gon', 'na', 'be', 'sick'];['i', 'think', 'i', 'gon', 'na', 'be', 'sick'];['think', 'gon', 'na', 'sick']
Hermione;Me too.;['me', 'too'];['me', 'too'];[]
Ron;Harry?;['harry'];['harry'];['harry']
Harry;Ron.;['ron'];['ron'];['ron']
Ron;Bloody hell!;['bloody', 'hell'];['bloody', 'hell'];['bloody', 'hell']
Harry;We still sound like ourselves.;['we', 'still', 'sound', 'like', 'ourselves'];['we', 'still', 'sound', 'like', 'ourselves'];['still', 'sound', 'like']
Harry;You need to sound more like Crabbe.;['you', 'need', 'to', 'sound', 'more', 'like', 'crabbe'];['you', 'need', 'to', 'sound', 'more', 'like', 'crabbe'];['need', 'sound', 'like', 'crabbe']
Ron;Bloody hell.;['bloody', 'hell'];['bloody', 'hell'];['bloody', 'hell']
Harry;Excellent.;['excellent'];['excellent'];['excellent']
Ron;But where's Hermione?;['but', 'where', 'hermione'];['but', 'where', 'hermione'];['hermione']
Hermione;I...I don't think I'm going.;['i', 'i', 'do', 'think', 'i', 'going'];['i', 'i', 'do', 'think', 'i', 'going'];['think', 'going']
Hermione;You go on without me.;['you', 'go', 'on', 'without', 'me'];['you', 'go', 'on', 'without', 'me'];['without']
Harry;Hermione, are you okay?;['hermione', 'are', 'you', 'okay'];['hermione', 'are', 'you', 'okay'];['hermione', 'okay']
Hermione;Just go. You're wasting time.;['just', 'go', 'you', 'wasting', 'time'];['just', 'go', 'you', 'wasting', 'time'];['wasting', 'time']
Harry;Come on.;['come', 'on'];['come', 'on'];[]
Harry;I think the Slytherin common room's this way.;['i', 'think', 'the', 'slytherin', 'common', 'room', 'this', 'way'];['i', 'think', 'the', 'slytherin', 'common', 'room', 'this', 'way'];['think', 'slytherin', 'common', 'room', 'way']
Percy;Excuse me.;['excuse', 'me'];['excuse', 'me'];['excuse']
Ron;What are you doing d...?;['what', 'are', 'you', 'doing', 'd'];['what', 'are', 'you', 'doing', 'd'];[]
Ron;I mean, what are you doing down here?;['i', 'mean', 'what', 'are', 'you', 'doing', 'down', 'here'];['i', 'mean', 'what', 'are', 'you', 'doing', 'down', 'here'];['mean']
Percy;I happen to be a school prefect.;['i', 'happen', 'to', 'be', 'a', 'school', 'prefect'];['i', 'happen', 'to', 'be', 'a', 'school', 'prefect'];['happen', 'school', 'prefect']
Percy;You, on the other hand, have no business wandering the corridors at night.;['you', 'on', 'the', 'other', 'hand', 'have', 'no', 'business', 'wandering', 'the', 'corridors', 'at', 'night'];['you', 'on', 'the', 'other', 'hand', 'have', 'no', 'business', 'wandering', 'the', 'corridor', 'at', 'night'];['hand', 'business', 'wandering', 'corridor', 'night']
Percy;What are your names again?;['what', 'are', 'your', 'names', 'again'];['what', 'are', 'your', 'name', 'again'];['name']
Harry;I'm...;['i'];['i'];[]
Draco;Crabbe, Goyle, where have you been?;['crabbe', 'goyle', 'where', 'have', 'you', 'been'];['crabbe', 'goyle', 'where', 'have', 'you', 'been'];['crabbe', 'goyle']
Draco;Pigging out in the Great Hall all this time?;['pigging', 'out', 'in', 'the', 'great', 'hall', 'all', 'this', 'time'];['pigging', 'out', 'in', 'the', 'great', 'hall', 'all', 'this', 'time'];['pigging', 'great', 'hall', 'time']
Draco;Why are you wearing glasses?;['why', 'are', 'you', 'wearing', 'glasses'];['why', 'are', 'you', 'wearing', 'glass'];['wearing', 'glass']
Harry;Ah- um.. Reading.;['um', 'reading'];['um', 'reading'];['um', 'reading']
Draco;Reading?;['reading'];['reading'];['reading']
Draco;I didn't know you could read.;['i', 'did', 'know', 'you', 'could', 'read'];['i', 'did', 'know', 'you', 'could', 'read'];['could', 'read']
Draco;And what are you doing down here, Weasley?;['and', 'what', 'are', 'you', 'doing', 'down', 'here', 'weasley'];['and', 'what', 'are', 'you', 'doing', 'down', 'here', 'weasley'];['weasley']
Percy;Mind your attitude, Malfoy.;['mind', 'your', 'attitude', 'malfoy'];['mind', 'your', 'attitude', 'malfoy'];['mind', 'attitude', 'malfoy']
Draco;Well, sit down.;['well', 'sit', 'down'];['well', 'sit', 'down'];['well', 'sit']
Draco;You'd never know the Weasleys were pure-bloods, the way they behave.;['you', 'never', 'know', 'the', 'weasleys', 'were', 'the', 'way', 'they', 'behave'];['you', 'never', 'know', 'the', 'weasleys', 'were', 'the', 'way', 'they', 'behave'];['never', 'weasleys', 'way', 'behave']
Draco;They're an embarrassment to the wizarding world. All of them.;['they', 'an', 'embarrassment', 'to', 'the', 'wizarding', 'world', 'all', 'of', 'them'];['they', 'an', 'embarrassment', 'to', 'the', 'wizarding', 'world', 'all', 'of', 'them'];['embarrassment', 'wizarding', 'world']
Draco;What's wrong with you, Crabbe?;['what', 'wrong', 'with', 'you', 'crabbe'];['what', 'wrong', 'with', 'you', 'crabbe'];['wrong', 'crabbe']
Ron;Stomachache.;['stomachache'];['stomachache'];['stomachache']
Draco;I'm surprised the Daily Prophet hasn't done a report on all these attacks.;['i', 'surprised', 'the', 'daily', 'prophet', 'has', 'done', 'a', 'report', 'on', 'all', 'these', 'attacks'];['i', 'surprised', 'the', 'daily', 'prophet', 'ha', 'done', 'a', 'report', 'on', 'all', 'these', 'attack'];['surprised', 'daily', 'prophet', 'done', 'report', 'attack']
Draco;I suppose Dumbledore is trying to hush it all up.;['i', 'suppose', 'dumbledore', 'is', 'trying', 'to', 'hush', 'it', 'all', 'up'];['i', 'suppose', 'dumbledore', 'is', 'trying', 'to', 'hush', 'it', 'all', 'up'];['suppose', 'dumbledore', 'trying', 'hush']
Draco;Father always said Dumbledore was the worst thing that ever happened to this place.;['father', 'always', 'said', 'dumbledore', 'was', 'the', 'worst', 'thing', 'that', 'ever', 'happened', 'to', 'this', 'place'];['father', 'always', 'said', 'dumbledore', 'wa', 'the', 'worst', 'thing', 'that', 'ever', 'happened', 'to', 'this', 'place'];['father', 'always', 'said', 'dumbledore', 'worst', 'thing', 'ever', 'happened', 'place']
Harry;You're wrong!;['you', 'wrong'];['you', 'wrong'];['wrong']
Draco;What?;['what'];['what'];[]
Draco;You think there's someone here who's worse than Dumbledore?;['you', 'think', 'there', 'someone', 'here', 'who', 'worse', 'than', 'dumbledore'];['you', 'think', 'there', 'someone', 'here', 'who', 'worse', 'than', 'dumbledore'];['think', 'someone', 'worse', 'dumbledore']
Draco;Well? Do you?;['well', 'do', 'you'];['well', 'do', 'you'];['well']
Harry;Harry Potter?;['harry', 'potter'];['harry', 'potter'];['harry', 'potter']
Draco;Good one, Goyle.;['good', 'one', 'goyle'];['good', 'one', 'goyle'];['good', 'one', 'goyle']
Draco;You're absolutely right.;['you', 'absolutely', 'right'];['you', 'absolutely', 'right'];['absolutely', 'right']
Draco;Saint Potter.;['saint', 'potter'];['saint', 'potter'];['saint', 'potter']
Draco;And people actually think that he's the Heir of Slytherin?;['and', 'people', 'actually', 'think', 'that', 'he', 'the', 'heir', 'of', 'slytherin'];['and', 'people', 'actually', 'think', 'that', 'he', 'the', 'heir', 'of', 'slytherin'];['people', 'actually', 'think', 'heir', 'slytherin']
Harry;But then you must have some idea who's behind it all.;['but', 'then', 'you', 'must', 'have', 'some', 'idea', 'who', 'behind', 'it', 'all'];['but', 'then', 'you', 'must', 'have', 'some', 'idea', 'who', 'behind', 'it', 'all'];['must', 'idea', 'behind']
Draco;You know I don't, Goyle.;['you', 'know', 'i', 'do', 'goyle'];['you', 'know', 'i', 'do', 'goyle'];['goyle']
Draco;I told you yesterday.;['i', 'told', 'you', 'yesterday'];['i', 'told', 'you', 'yesterday'];['told', 'yesterday']
Draco;How many times do I have to tell you?;['how', 'many', 'times', 'do', 'i', 'have', 'to', 'tell', 'you'];['how', 'many', 'time', 'do', 'i', 'have', 'to', 'tell', 'you'];['many', 'time', 'tell']
Draco;Is this yours?;['is', 'this', 'yours'];['is', 'this', 'yours'];[]
Draco;But my father did say this:;['but', 'my', 'father', 'did', 'say', 'this'];['but', 'my', 'father', 'did', 'say', 'this'];['father', 'say']
Draco;It's been 50 years since the Chamber was opened.;['it', 'been', 'years', 'since', 'the', 'chamber', 'was', 'opened'];['it', 'been', 'year', 'since', 'the', 'chamber', 'wa', 'opened'];['year', 'since', 'chamber', 'opened']
Draco;He wouldn't tell me who opened it.;['he', 'would', 'tell', 'me', 'who', 'opened', 'it'];['he', 'would', 'tell', 'me', 'who', 'opened', 'it'];['would', 'tell', 'opened']
Draco;Only that they were expelled.;['only', 'that', 'they', 'were', 'expelled'];['only', 'that', 'they', 'were', 'expelled'];['expelled']
Draco;The last time the Chamber of Secrets was opened, a Mudblood died.;['the', 'last', 'time', 'the', 'chamber', 'of', 'secrets', 'was', 'opened', 'a', 'mudblood', 'died'];['the', 'last', 'time', 'the', 'chamber', 'of', 'secret', 'wa', 'opened', 'a', 'mudblood', 'died'];['last', 'time', 'chamber', 'secret', 'opened', 'mudblood', 'died']
Draco;So it's only a matter of time before one of them is killed this time.;['so', 'it', 'only', 'a', 'matter', 'of', 'time', 'before', 'one', 'of', 'them', 'is', 'killed', 'this', 'time'];['so', 'it', 'only', 'a', 'matter', 'of', 'time', 'before', 'one', 'of', 'them', 'is', 'killed', 'this', 'time'];['matter', 'time', 'one', 'killed', 'time']
Draco;As for me I hope it's Granger.;['as', 'for', 'me', 'i', 'hope', 'it', 'granger'];['a', 'for', 'me', 'i', 'hope', 'it', 'granger'];['hope', 'granger']
Draco;What's the matter with you two?;['what', 'the', 'matter', 'with', 'you', 'two'];['what', 'the', 'matter', 'with', 'you', 'two'];['matter', 'two']
Draco;You're acting very odd.;['you', 'acting', 'very', 'odd'];['you', 'acting', 'very', 'odd'];['acting', 'odd']
Harry;It's his stomachache.;['it', 'his', 'stomachache'];['it', 'his', 'stomachache'];['stomachache']
Harry;Calm down.;['calm', 'down'];['calm', 'down'];['calm']
Ron;Scar!;['scar'];['scar'];['scar']
Harry;Hair!;['hair'];['hair'];['hair']
Draco;Hey! Where are you going?;['hey', 'where', 'are', 'you', 'going'];['hey', 'where', 'are', 'you', 'going'];['hey', 'going']
Ron;That was close.;['that', 'was', 'close'];['that', 'wa', 'close'];['close']
Harry;Hermione, come out.;['hermione', 'come', 'out'];['hermione', 'come', 'out'];['hermione']
Harry;We've got loads to tell you.;['we', 'got', 'loads', 'to', 'tell', 'you'];['we', 'got', 'load', 'to', 'tell', 'you'];['load', 'tell']
Hermione;Go away.;['go', 'away'];['go', 'away'];['away']
Moaning Myrtle;Wait till you see. It's awful.;['wait', 'till', 'you', 'see', 'it', 'awful'];['wait', 'till', 'you', 'see', 'it', 'awful'];['wait', 'till', 'awful']
Harry;Hermione?;['hermione'];['hermione'];['hermione']
Harry;Are you okay?;['are', 'you', 'okay'];['are', 'you', 'okay'];['okay']
Hermione;Do you remember me telling you that the Polyjuice Potion was only for human transformations?;['do', 'you', 'remember', 'me', 'telling', 'you', 'that', 'the', 'polyjuice', 'potion', 'was', 'only', 'for', 'human', 'transformations'];['do', 'you', 'remember', 'me', 'telling', 'you', 'that', 'the', 'polyjuice', 'potion', 'wa', 'only', 'for', 'human', 'transformation'];['remember', 'telling', 'polyjuice', 'potion', 'human', 'transformation']
Hermione;It was cat hair I plucked off Millicent Bulstrode's robes.;['it', 'was', 'cat', 'hair', 'i', 'plucked', 'off', 'millicent', 'bulstrode', 'robes'];['it', 'wa', 'cat', 'hair', 'i', 'plucked', 'off', 'millicent', 'bulstrode', 'robe'];['cat', 'hair', 'plucked', 'millicent', 'bulstrode', 'robe']
Hermione;Look at my face.;['look', 'at', 'my', 'face'];['look', 'at', 'my', 'face'];['look', 'face']
Ron;Look at your tail.;['look', 'at', 'your', 'tail'];['look', 'at', 'your', 'tail'];['look', 'tail']
Ron;Have you spoken to Hermione?;['have', 'you', 'spoken', 'to', 'hermione'];['have', 'you', 'spoken', 'to', 'hermione'];['spoken', 'hermione']
Harry;She should be out of hospital in a few days when she stops coughing up fur balls.;['she', 'should', 'be', 'out', 'of', 'hospital', 'in', 'a', 'few', 'days', 'when', 'she', 'stops', 'coughing', 'up', 'fur', 'balls'];['she', 'should', 'be', 'out', 'of', 'hospital', 'in', 'a', 'few', 'day', 'when', 'she', 'stop', 'coughing', 'up', 'fur', 'ball'];['hospital', 'day', 'stop', 'coughing', 'fur', 'ball']
Harry;What's this?;['what', 'this'];['what', 'this'];[]
Ron;Yuck!;['yuck'];['yuck'];['yuck']
Harry;Looks like Moaning Myrtle's flooded the bathroom.;['looks', 'like', 'moaning', 'myrtle', 'flooded', 'the', 'bathroom'];['look', 'like', 'moaning', 'myrtle', 'flooded', 'the', 'bathroom'];['look', 'like', 'moaning', 'myrtle', 'flooded', 'bathroom']
Moaning Myrtle;Ohh-Uhh..Come to throw something else at me?;['come', 'to', 'throw', 'something', 'else', 'at', 'me'];['come', 'to', 'throw', 'something', 'else', 'at', 'me'];['throw', 'something', 'else']
Harry;Why would I throw something at you?;['why', 'would', 'i', 'throw', 'something', 'at', 'you'];['why', 'would', 'i', 'throw', 'something', 'at', 'you'];['would', 'throw', 'something']
Moaning Myrtle;Don't ask me. Here I am, minding my own business and someone thinks it's funny to throw a book at me.;['do', 'ask', 'me', 'here', 'i', 'am', 'minding', 'my', 'own', 'business', 'and', 'someone', 'thinks', 'it', 'funny', 'to', 'throw', 'a', 'book', 'at', 'me'];['do', 'ask', 'me', 'here', 'i', 'am', 'minding', 'my', 'own', 'business', 'and', 'someone', 'think', 'it', 'funny', 'to', 'throw', 'a', 'book', 'at', 'me'];['ask', 'minding', 'business', 'someone', 'think', 'funny', 'throw', 'book']
Ron;But it can't hurt if someone throws something at you.;['but', 'it', 'ca', 'hurt', 'if', 'someone', 'throws', 'something', 'at', 'you'];['but', 'it', 'ca', 'hurt', 'if', 'someone', 'throw', 'something', 'at', 'you'];['ca', 'hurt', 'someone', 'throw', 'something']
Ron;I mean, it'll just go right through you.;['i', 'mean', 'it', 'just', 'go', 'right', 'through', 'you'];['i', 'mean', 'it', 'just', 'go', 'right', 'through', 'you'];['mean', 'right']
Moaning Myrtle;SURE! Let's all throw books at Myrtle because she can't feel it.;['sure', 'let', 'all', 'throw', 'books', 'at', 'myrtle', 'because', 'she', 'ca', 'feel', 'it'];['sure', 'let', 'all', 'throw', 'book', 'at', 'myrtle', 'because', 'she', 'ca', 'feel', 'it'];['sure', 'let', 'throw', 'book', 'myrtle', 'ca', 'feel']
Moaning Myrtle;Ten points if you get it through her stomach!;['ten', 'points', 'if', 'you', 'get', 'it', 'through', 'her', 'stomach'];['ten', 'point', 'if', 'you', 'get', 'it', 'through', 'her', 'stomach'];['ten', 'point', 'stomach']
Moaning Myrtle;Fifty points if it goes through her head!;['fifty', 'points', 'if', 'it', 'goes', 'through', 'her', 'head'];['fifty', 'point', 'if', 'it', 'go', 'through', 'her', 'head'];['fifty', 'point', 'head']
Harry;But who threw it at you, anyway?;['but', 'who', 'threw', 'it', 'at', 'you', 'anyway'];['but', 'who', 'threw', 'it', 'at', 'you', 'anyway'];['threw', 'anyway']
Moaning Myrtle;I don't know. I didn't see them.;['i', 'do', 'know', 'i', 'did', 'see', 'them'];['i', 'do', 'know', 'i', 'did', 'see', 'them'];[]
Moaning Myrtle;I was just sitting in the U-bend, thinking about death and it fell through the top of my head.;['i', 'was', 'just', 'sitting', 'in', 'the', 'thinking', 'about', 'death', 'and', 'it', 'fell', 'through', 'the', 'top', 'of', 'my', 'head'];['i', 'wa', 'just', 'sitting', 'in', 'the', 'thinking', 'about', 'death', 'and', 'it', 'fell', 'through', 'the', 'top', 'of', 'my', 'head'];['sitting', 'thinking', 'death', 'fell', 'top', 'head']
Moaning Myrtle;Whoo-oooh-whoooo...;[];[];[]
Harry;Tom Marvolo Riddle.;['tom', 'marvolo', 'riddle'];['tom', 'marvolo', 'riddle'];['tom', 'marvolo', 'riddle']
Harry;My name is Harry Potter.;['my', 'name', 'is', 'harry', 'potter'];['my', 'name', 'is', 'harry', 'potter'];['name', 'harry', 'potter']
Diary;Hello Harry Potter, my name is Tom Riddle.;['hello', 'harry', 'potter', 'my', 'name', 'is', 'tom', 'riddle'];['hello', 'harry', 'potter', 'my', 'name', 'is', 'tom', 'riddle'];['hello', 'harry', 'potter', 'name', 'tom', 'riddle']
Harry;Do you know anything about the Chamber of Secrets?;['do', 'you', 'know', 'anything', 'about', 'the', 'chamber', 'of', 'secrets'];['do', 'you', 'know', 'anything', 'about', 'the', 'chamber', 'of', 'secret'];['anything', 'chamber', 'secret']
Diary;Yes.;['yes'];['yes'];[]
