Character;speech
seamus;fainted, head, everyone, weasley, gotten, howler, cornish, pixy, half, half, dad, muggle, mum, witch, bit, nasty, shock, found, eye, rabbit, harp, string, hum, turn, water, rum, eye, rabbit, wingard, levosa, wingardly, lev, countercurse, appreciate, insinuation, longbottom, besides, anyone, cared, notice, eyebrow, completely, grown, back, yeah
percy;errol, oh, look, hogwarts, letter, sent, u, harry, well, hello, sir, nicolas, excuse, happen, school, prefect, hand, business, wandering, corridor, night, name, mind, attitude, malfoy, oh, thats, professor, snape, head, slytherin, house, potion, everyone, dark, art, fancy, quirrell, job, year, hello, sir, nicholas, nice, summer, gryffindors, follow, please, keep, thank, direct, path, dormitory, oh, keep, eye, staircase, like, change, keep, please, follow, quickly, caput, draconis, follow, everyone, keep, quickly, gather, around, welcome, gryffindor, common, room, boy, dormitory, upstairs, left, girl, right, find, belonging, already, brought, gryffindors, keep, please, stay, alert
flitwick;one, wizard, rudimentary, skill, levitation, ability, make, object, fly, uh, feather, good, uh, forget, nice, wrist, movement, practicing, hmm, swish, flick, everyone, good, enunciate, wingardium, leviosa, oh, well, done, everyone, granger, done, oh, splendid, whooaaa, ooh
crabbe;cool, umm, um
whispers;harry, potter
vernon;harry, potter, huh, huh, could, send, secret, message, freaky, little, friend, sir, happy, birthday, son, hurry, bring, coffee, boy, counted, quite, bit, bigger, last, year, warning, boy, funny, business, wo, meal, week, move, happened, thing, magic, caveat, smeltonia, proudest, moment, life, marge, ate, funny, whelk, writing, mail, letterbox, shoo, fine, day, sunday, opinion, best, day, week, dudley, right, harry, post, sunday, blasted, letter, today, sir, one, single, bloody, letter, one, sir, one, blasted, miserable, give, give, letter, going, away, far, away, ca, find, u, demand, leave, sir, breaking, entering, going, swore, took, put, stop, rubbish, going, pay, crackpot, old, fool, teach, magic, trick
crowd;boooo, gryffindor, gryffindor
mr. borgin;malfoy, pleasure, may, today, selling, hmmm, ah, hand, glory, insert, candle, give, light, holder, best, friend, thief, plunderer, son, fine, taste, sir, wizard, blood, counting, le, everywhere
ginny;mummy, seen, jumper, leave, alone, harry, swear, mean, riddle, made, harry, hurt, good, luck
mcgonagall;talking, weasley, today, weasley, must, impress, seriousness, done, writing, family, tonight, receive, detention, could, attention, please, right, today, transforming, animal, water, goblet, like, one, two, three, vera, verto, turn, would, like, first, ahh, weasley, one, two, three, vera, verto, wand, need, replacing, weasley, miss, granger, well, course, hogwarts, founded, thousand, year, ago, four, greatest, witch, wizard, age, godric, gryffindor, helga, hufflepuff, rowena, ravenclaw, salazar, slytherin, three, founder, coexisted, quite, harmoniously, one, salazar, slytherin, wished, selective, student, admitted, hogwarts, believed, magical, learning, kept, within, family, word, unable, sway, others, decided, leave, school, according, legend, slytherin, built, hidden, chamber, castle, known, chamber, secret, though, shortly, departing, sealed, time, true, heir, returned, school, heir, alone, would, able, open, chamber, unleash, horror, within, purge, school, slytherin, view, unworthy, study, magic, well, naturally, school, searched, many, time, chamber, found, chamber, said, home, something, heir, slytherin, control, said, home, monster, think, petrified, madam, pomfrey, look, perhaps, managed, take, picture, attacker, mean, albus, tell, staff, hand, potter, professor, dumbledore, waiting, sherbet, lemon, match, canceled, silence, wood, teammate, gryffindor, tower, potter, find, weasley, something, warn, could, wee, bit, shock, found, near, library, along, doe, mean, anything, either, could, attention, please, recent, event, new, rule, put, effect, immediately, student, return, house, common, room, every, evening, student, escorted, lesson, teacher, exception, tell, unless, culprit, behind, attack, caught, likely, school, closed, student, return, house, dormitory, teacher, corridor, immediately, heir, slytherin, left, another, message, worst, fear, realized, student, taken, monster, chamber, student, must, sent, home, afraid, end, hogwarts, settled, leave, deal, monster, gilderoy, skill, legend, ginny, weasley, could, attention, please, good, evening, professor, dumbledore, rumor, true, albus, boy, think, wise, trust, hagrid, something, important, watched, day, worst, sort, muggles, imaginable, really, boy, famous, wo, child, world, doe, name, welcome, hogwarts, moment, pas, door, join, classmate, take, seat, must, sorted, house, gryffindor, hufflepuff, ravenclaw, slytherin, house, like, family, triumph, earn, point, lose, point, end, year, house, point, awarded, house, cup, sorting, ceremony, begin, momentarily, ready, follow, right, wait, along, please, begin, professor, dumbledore, would, like, say, word, call, name, forth, shall, place, sorting, hat, head, sorted, house, hermione, granger, draco, malfoy, susan, bone, ronald, weasley, harry, potter, attention, please, thank, assessment, mr, weasley, perhaps, lt, useful, transfigure, potter, way, one, might, time, perhaps, map, trust, need, one, find, seat, harry, potter, follow, wait, professor, quirrell, excuse, could, borrow, wood, moment, please, potter, oliver, wood, wood, found, seeker, oh, oh, goodness, granger, may, extremely, foolish, thing, would, expected, rational, behaviour, part, disappointed, granger, point, taken, gryffindor, serious, lack, judgment, two, gentleman, hope, realize, fortunate, many, first, year, student, could, take, full, grown, mountain, troll, live, tell, tale, point, awarded, sheer, dumb, luck, good, evening, nothing, repeat, nothing, give, student, right, walk, school, night, therefore, punishment, action, point, taken, ensure, doe, happen, four, receive, detention, heard, correctly, malfoy, honorable, intention, bed, hour, join, classmate, detention, afraid, professor, dumbledore, received, urgent, owl, ministry, magic, left, immediately, london, three, found, stone, assure, perfectly, would, back, dormitory, quietly
moaning myrtle;moaning, myrtle, would, expect, would, ever, talk, ugly, miserable, moping, moaning, myrtle, aaaaaa, wait, till, awful, throw, something, else, ask, minding, business, someone, think, funny, throw, book, sure, let, throw, book, myrtle, ca, feel, ten, point, stomach, fifty, point, head, sitting, thinking, death, fell, top, head, hello, harry, want, dreadful, happened, right, cubicle, hidden, olive, hornby, teasing, glass, cry, heard, somebody, distraught, said, something, funny, kind, language, realized, boy, unlocked, door, tell, away, died, remember, seeing, pair, great, big, yellow, eye, sink, oh, harry, die, welcome, share, toilet
uncle vernon;warning, ca, control, bloody, bird, think, little, grateful, raised, since, baby, given, food, table, even, let, dudley, second, bedroom, purely, goodness, heart, minute, ahem, let, schedule, shall, petunia, mason, arrive, good, dudley, excellent, right, luck, could, well, day, make, biggest, deal, career, mess, mason, ohh, mind, cat, devil, ruined, punch, line, japanese, golfer, joke, one, sound, wish, never, born, boy, fix, door, spread, far, eye, could, floor, vast, building, deep, one, plumber, said, look, water, second, plumber, said, top, sorry, disturbed, meeting, stranger, upset, kept, upstairs, never, going, back, school, never, going, freaky, friend, never, hell, potter, petunia, escaping, oh, boy, bloody, pigeon, going, anywhere, aaaah, oh, damn
dean;ron, owl, hey, look, neville, remembrall
